CurrentTime	MinD_ATP	MinD_ADP	MinE	Surface:MinD_ATP_m	Surface:MinD_ATP_m_MinE	Surface:MinD_ADP_m_MinE	Surface:MinE_m
0.00034074	500	500	700	0	0	0	0
0.000370414	501	499	700	0	0	0	0
0.00048	502	498	700	0	0	0	0
0.000534305	502	498	700	0	0	0	0
0.00072	503	497	700	0	0	0	0
0.00096	503	497	700	0	0	0	0
0.000975003	503	497	700	0	0	0	0
0.00114433	504	496	700	0	0	0	0
0.00119691	505	495	700	0	0	0	0
0.0012	506	494	700	0	0	0	0
0.00144	506	494	700	0	0	0	0
0.00168	506	494	700	0	0	0	0
0.001738	506	494	700	0	0	0	0
0.00177122	507	493	700	0	0	0	0
0.00192	508	492	700	0	0	0	0
0.00200765	508	492	700	0	0	0	0
0.00216	509	491	700	0	0	0	0
0.0024	509	491	700	0	0	0	0
0.00249344	509	491	700	0	0	0	0
0.00260487	510	490	700	0	0	0	0
0.00264	511	489	700	0	0	0	0
0.00288	511	489	700	0	0	0	0
0.00312	511	489	700	0	0	0	0
0.00328989	511	489	700	0	0	0	0
0.00332905	512	488	700	0	0	0	0
0.00336	513	487	700	0	0	0	0
0.0036	513	487	700	0	0	0	0
0.00384	513	487	700	0	0	0	0
0.00408	513	487	700	0	0	0	0
0.0042154	513	487	700	0	0	0	0
0.00424042	514	486	700	0	0	0	0
0.00432	515	485	700	0	0	0	0
0.00449119	515	485	700	0	0	0	0
0.00456	516	484	700	0	0	0	0
0.00459202	516	484	700	0	0	0	0
0.00462596	517	483	700	0	0	0	0
0.0048	518	482	700	0	0	0	0
0.00491226	518	482	700	0	0	0	0
0.00504	519	481	700	0	0	0	0
0.00504748	519	481	700	0	0	0	0
0.00528	520	480	700	0	0	0	0
0.00552	520	480	700	0	0	0	0
0.00563387	520	480	700	0	0	0	0
0.00576	521	479	700	0	0	0	0
0.0059508	521	479	700	0	0	0	0
0.006	522	478	700	0	0	0	0
0.00613245	522	478	700	0	0	0	0
0.00624	523	477	700	0	0	0	0
0.00648	523	477	700	0	0	0	0
0.00672	523	477	700	0	0	0	0
0.00696	523	477	700	0	0	0	0
0.0072	523	477	700	0	0	0	0
0.00744	523	477	700	0	0	0	0
0.00746714	523	477	700	0	0	0	0
0.00768	524	476	700	0	0	0	0
0.00778897	524	476	700	0	0	0	0
0.00792	525	475	700	0	0	0	0
0.00816	525	475	700	0	0	0	0
0.00830577	525	475	700	0	0	0	0
0.0084	526	474	700	0	0	0	0
0.00841214	526	474	700	0	0	0	0
0.00864	527	473	700	0	0	0	0
0.00888	527	473	700	0	0	0	0
0.00912	527	473	700	0	0	0	0
0.00919472	527	473	700	0	0	0	0
0.00922923	528	472	700	0	0	0	0
0.00936	529	471	700	0	0	0	0
0.00940622	529	471	700	0	0	0	0
0.0096	530	470	700	0	0	0	0
0.00984	530	470	700	0	0	0	0
0.01008	530	470	700	0	0	0	0
0.0101313	530	470	700	0	0	0	0
0.010173	531	469	700	0	0	0	0
0.01032	532	468	700	0	0	0	0
0.0104658	532	468	700	0	0	0	0
0.01056	533	467	700	0	0	0	0
0.0105812	533	467	700	0	0	0	0
0.0106256	534	466	700	0	0	0	0
0.0108	535	465	700	0	0	0	0
0.01104	535	465	700	0	0	0	0
0.01128	535	465	700	0	0	0	0
0.01152	535	465	700	0	0	0	0
0.01176	535	465	700	0	0	0	0
0.0118447	535	465	700	0	0	0	0
0.0118494	536	464	700	0	0	0	0
0.012	537	463	700	0	0	0	0
0.0120869	537	463	700	0	0	0	0
0.0120914	538	462	700	0	0	0	0
0.01224	539	461	700	0	0	0	0
0.01248	539	461	700	0	0	0	0
0.01272	539	461	700	0	0	0	0
0.01296	539	461	700	0	0	0	0
0.0132	539	461	700	0	0	0	0
0.01344	539	461	700	0	0	0	0
0.0134642	539	461	700	0	0	0	0
0.0136726	540	460	700	0	0	0	0
0.01368	541	459	700	0	0	0	0
0.01392	541	459	700	0	0	0	0
0.01416	541	459	700	0	0	0	0
0.0144	541	459	700	0	0	0	0
0.0145586	541	459	700	0	0	0	0
0.0145876	542	458	700	0	0	0	0
0.01464	543	457	700	0	0	0	0
0.01488	543	457	700	0	0	0	0
0.0148913	543	457	700	0	0	0	0
0.01512	544	456	700	0	0	0	0
0.0152453	544	456	700	0	0	0	0
0.01536	545	455	700	0	0	0	0
0.015365	545	455	700	0	0	0	0
0.0155663	546	454	700	0	0	0	0
0.0156	547	453	700	0	0	0	0
0.01584	547	453	700	0	0	0	0
0.01608	547	453	700	0	0	0	0
0.01632	547	453	700	0	0	0	0
0.01656	547	453	700	0	0	0	0
0.0168	547	453	700	0	0	0	0
0.01704	547	453	700	0	0	0	0
0.01728	547	453	700	0	0	0	0
0.01752	547	453	700	0	0	0	0
0.01776	547	453	700	0	0	0	0
0.0178767	547	453	700	0	0	0	0
0.018	548	452	700	0	0	0	0
0.0181469	548	452	700	0	0	0	0
0.018213	549	451	700	0	0	0	0
0.01824	550	450	700	0	0	0	0
0.0183368	550	450	700	0	0	0	0
0.0183913	551	449	700	0	0	0	0
0.01848	552	448	700	0	0	0	0
0.01872	552	448	700	0	0	0	0
0.01896	552	448	700	0	0	0	0
0.0192	552	448	700	0	0	0	0
0.0192016	552	448	700	0	0	0	0
0.0192272	553	447	700	0	0	0	0
0.0192977	554	446	700	0	0	0	0
0.0193079	555	445	700	0	0	0	0
0.01944	556	444	700	0	0	0	0
0.0195051	556	444	700	0	0	0	0
0.01968	557	443	700	0	0	0	0
0.0197089	557	443	700	0	0	0	0
0.01992	558	442	700	0	0	0	0
0.02016	558	442	700	0	0	0	0
0.0201817	558	442	700	0	0	0	0
0.0204	559	441	700	0	0	0	0
0.0205196	559	441	700	0	0	0	0
0.0206091	560	440	700	0	0	0	0
0.02064	561	439	700	0	0	0	0
0.02088	561	439	700	0	0	0	0
0.02112	561	439	700	0	0	0	0
0.0211845	561	439	700	0	0	0	0
0.02136	562	438	700	0	0	0	0
0.0216	562	438	700	0	0	0	0
0.02184	562	438	700	0	0	0	0
0.0219299	562	438	700	0	0	0	0
0.02208	563	437	700	0	0	0	0
0.02232	563	437	700	0	0	0	0
0.02256	563	437	700	0	0	0	0
0.0226011	563	437	700	0	0	0	0
0.0226737	564	436	700	0	0	0	0
0.0227472	565	435	700	0	0	0	0
0.0228	566	434	700	0	0	0	0
0.02304	566	434	700	0	0	0	0
0.0230796	566	434	700	0	0	0	0
0.0231062	567	433	700	0	0	0	0
0.0231582	568	432	700	0	0	0	0
0.02328	569	431	700	0	0	0	0
0.0233804	569	431	700	0	0	0	0
0.02352	570	430	700	0	0	0	0
0.02376	570	430	700	0	0	0	0
0.024	570	430	700	0	0	0	0
0.02424	570	430	700	0	0	0	0
0.02448	570	430	700	0	0	0	0
0.0247082	570	430	700	0	0	0	0
0.02472	571	429	700	0	0	0	0
0.0249404	571	429	700	0	0	0	0
0.02496	572	428	700	0	0	0	0
0.0252	572	428	700	0	0	0	0
0.02544	572	428	700	0	0	0	0
0.02568	572	428	700	0	0	0	0
0.02592	572	428	700	0	0	0	0
0.0259832	572	428	700	0	0	0	0
0.02616	573	427	700	0	0	0	0
0.0261944	573	427	700	0	0	0	0
0.0264	574	426	700	0	0	0	0
0.0264816	574	426	700	0	0	0	0
0.0266147	575	425	700	0	0	0	0
0.02664	576	424	700	0	0	0	0
0.026681	576	424	700	0	0	0	0
0.02683	577	423	700	0	0	0	0
0.02688	578	422	700	0	0	0	0
0.0269499	578	422	700	0	0	0	0
0.02712	579	421	700	0	0	0	0
0.0272564	579	421	700	0	0	0	0
0.02736	580	420	700	0	0	0	0
0.0274495	580	420	700	0	0	0	0
0.0275016	581	419	700	0	0	0	0
0.0276	582	418	700	0	0	0	0
0.0276703	582	418	700	0	0	0	0
0.02784	583	417	700	0	0	0	0
0.02808	583	417	700	0	0	0	0
0.02832	583	417	700	0	0	0	0
0.0283537	583	417	700	0	0	0	0
0.02856	584	416	700	0	0	0	0
0.0288	584	416	700	0	0	0	0
0.0288347	584	416	700	0	0	0	0
0.02904	585	415	700	0	0	0	0
0.0292519	585	415	700	0	0	0	0
0.0292674	586	414	700	0	0	0	0
0.02928	587	413	700	0	0	0	0
0.02952	587	413	700	0	0	0	0
0.0296359	587	413	700	0	0	0	0
0.02976	588	412	700	0	0	0	0
0.029791	588	412	700	0	0	0	0
0.0298601	589	411	700	0	0	0	0
0.03	590	410	700	0	0	0	0
0.0300219	590	410	700	0	0	0	0
0.0301486	591	409	700	0	0	0	0
0.03024	592	408	700	0	0	0	0
0.03048	592	408	700	0	0	0	0
0.0305212	592	408	700	0	0	0	0
0.0305577	593	407	700	0	0	0	0
0.0306155	594	406	700	0	0	0	0
0.03072	595	405	700	0	0	0	0
0.03096	595	405	700	0	0	0	0
0.0310041	595	405	700	0	0	0	0
0.0312	596	404	700	0	0	0	0
0.0312273	596	404	700	0	0	0	0
0.03144	597	403	700	0	0	0	0
0.0316189	597	403	700	0	0	0	0
0.03168	598	402	700	0	0	0	0
0.03192	598	402	700	0	0	0	0
0.03216	598	402	700	0	0	0	0
0.0323193	598	402	700	0	0	0	0
0.0324	599	401	700	0	0	0	0
0.0324896	599	401	700	0	0	0	0
0.0325381	600	400	700	0	0	0	0
0.03264	601	399	700	0	0	0	0
0.03273	601	399	700	0	0	0	0
0.0327671	602	398	700	0	0	0	0
0.03288	603	397	700	0	0	0	0
0.0329184	603	397	700	0	0	0	0
0.03312	604	396	700	0	0	0	0
0.03336	604	396	700	0	0	0	0
0.0336	604	396	700	0	0	0	0
0.0338098	604	396	700	0	0	0	0
0.03384	605	395	700	0	0	0	0
0.03408	605	395	700	0	0	0	0
0.03432	605	395	700	0	0	0	0
0.03456	605	395	700	0	0	0	0
0.0346393	605	395	700	0	0	0	0
0.0348	606	394	700	0	0	0	0
0.03504	606	394	700	0	0	0	0
0.03528	606	394	700	0	0	0	0
0.03552	606	394	700	0	0	0	0
0.03576	606	394	700	0	0	0	0
0.036	606	394	700	0	0	0	0
0.03624	606	394	700	0	0	0	0
0.0364387	606	394	700	0	0	0	0
0.03648	607	393	700	0	0	0	0
0.03672	607	393	700	0	0	0	0
0.03696	607	393	700	0	0	0	0
0.0372	607	393	700	0	0	0	0
0.0372944	607	393	700	0	0	0	0
0.03744	608	392	700	0	0	0	0
0.037484	608	392	700	0	0	0	0
0.03768	609	391	700	0	0	0	0
0.03792	609	391	700	0	0	0	0
0.0379472	609	391	700	0	0	0	0
0.03816	610	390	700	0	0	0	0
0.0382311	610	390	700	0	0	0	0
0.0382365	611	389	700	0	0	0	0
0.0383423	612	388	700	0	0	0	0
0.0384	613	387	700	0	0	0	0
0.0385366	613	387	700	0	0	0	0
0.0386165	614	386	700	0	0	0	0
0.03864	615	385	700	0	0	0	0
0.03888	615	385	700	0	0	0	0
0.03912	615	385	700	0	0	0	0
0.039125	615	385	700	0	0	0	0
0.03936	616	384	700	0	0	0	0
0.0396	616	384	700	0	0	0	0
0.0396461	616	384	700	0	0	0	0
0.0397606	617	383	700	0	0	0	0
0.03984	618	382	700	0	0	0	0
0.0398579	618	382	700	0	0	0	0
0.04008	619	381	700	0	0	0	0
0.04032	619	381	700	0	0	0	0
0.0405058	619	381	700	0	0	0	0
0.04056	620	380	700	0	0	0	0
0.040585	620	380	700	0	0	0	0
0.0406369	621	379	700	0	0	0	0
0.0408	622	378	700	0	0	0	0
0.04104	622	378	700	0	0	0	0
0.0411386	622	378	700	0	0	0	0
0.04128	623	377	700	0	0	0	0
0.0413195	623	377	700	0	0	0	0
0.04152	624	376	700	0	0	0	0
0.04176	624	376	700	0	0	0	0
0.042	624	376	700	0	0	0	0
0.04224	624	376	700	0	0	0	0
0.04248	624	376	700	0	0	0	0
0.0425186	624	376	700	0	0	0	0
0.04272	625	375	700	0	0	0	0
0.0427757	625	375	700	0	0	0	0
0.04296	626	374	700	0	0	0	0
0.0429821	626	374	700	0	0	0	0
0.0432	627	373	700	0	0	0	0
0.04344	627	373	700	0	0	0	0
0.04368	627	373	700	0	0	0	0
0.04392	627	373	700	0	0	0	0
0.0439998	627	373	700	0	0	0	0
0.04416	628	372	700	0	0	0	0
0.0441935	628	372	700	0	0	0	0
0.0444	629	371	700	0	0	0	0
0.04464	629	371	700	0	0	0	0
0.0446612	629	371	700	0	0	0	0
0.04488	630	370	700	0	0	0	0
0.04512	630	370	700	0	0	0	0
0.04536	630	370	700	0	0	0	0
0.0456	630	370	700	0	0	0	0
0.0456389	630	370	700	0	0	0	0
0.0456928	631	369	700	0	0	0	0
0.04584	632	368	700	0	0	0	0
0.0459224	632	368	700	0	0	0	0
0.04608	633	367	700	0	0	0	0
0.04632	633	367	700	0	0	0	0
0.0464837	633	367	700	0	0	0	0
0.04656	634	366	700	0	0	0	0
0.0468	634	366	700	0	0	0	0
0.04704	634	366	700	0	0	0	0
0.04711	634	366	700	0	0	0	0
0.0472664	635	365	700	0	0	0	0
0.04728	636	364	700	0	0	0	0
0.04752	636	364	700	0	0	0	0
0.0476029	636	364	700	0	0	0	0
0.04776	637	363	700	0	0	0	0
0.048	637	363	700	0	0	0	0
0.0481974	637	363	700	0	0	0	0
0.04824	638	362	700	0	0	0	0
0.04848	638	362	700	0	0	0	0
0.04872	638	362	700	0	0	0	0
